RUID,CurrentBusStop,DestinationBusStop,Route,Date,Time
176554347,Quads,Werblin Back Entrance,B,03/21/2017,11:26
178524035,Werblin Back Entrance,Livingston Plaza,B,03/21/2017,12:49
101868999,Hill Center,Livingston Student Center,B,03/21/2017,11:53
108852281,Science Building,Library of Science,B,03/21/2017,05:06
155743198,Library of Science,Busch Student Center,B,03/21/2017,14:36
182270796,Busch Suites,Science Building,B,03/21/2017,01:11
109766481,Busch Student Center,Quads,B,03/21/2017,20:19
198023859,Livingston Plaza,Busch Suites,B,03/21/2017,08:37
179583049,Livingston Student Center,Hill Center,B,03/21/2017,02:25
148786802,Quads,Werblin Back Entrance,B,03/21/2017,13:32
113105113,Werblin Back Entrance,Livingston Plaza,B,03/21/2017,04:14
163131952,Hill Center,Livingston Student Center,B,03/21/2017,15:41
112589831,Science Building,Library of Science,B,03/21/2017,13:11
196374637,Library of Science,Busch Student Center,B,03/21/2017,14:33
163398769,Busch Suites,Science Building,B,03/21/2017,14:58
168662678,Busch Student Center,Quads,B,03/21/2017,23:38
168586976,Livingston Plaza,Busch Suites,B,03/21/2017,20:48
108168853,Livingston Student Center,Hill Center,B,03/21/2017,15:47
127767040,Quads,Werblin Back Entrance,B,03/21/2017,06:34
105505992,Werblin Back Entrance,Livingston Plaza,B,03/21/2017,20:48
182750761,Hill Center,Livingston Student Center,B,03/21/2017,06:32
164016758,Science Building,Library of Science,B,03/21/2017,16:54
192861821,Library of Science,Busch Student Center,B,03/21/2017,14:08
177770942,Quads,Science Building,B,03/21/2017,22:59
194118444,Werblin Back Entrance,Quads,B,03/21/2017,09:21
199889842,Hill Center,Busch Suites,B,03/21/2017,15:11
115891133,Science Building,Hill Center,B,03/21/2017,05:36
175915493,Library of Science,Werblin Back Entrance,B,03/21/2017,07:50
161377942,Busch Suites,Livingston Plaza,B,03/21/2017,22:05
133275467,Busch Student Center,Livingston Student Center,B,03/21/2017,05:59
177070998,Livingston Plaza,Library of Science,B,03/21/2017,10:41
153335492,Livingston Student Center,Busch Student Center,B,03/21/2017,10:30
102916714,Quads,Science Building,B,03/21/2017,10:51
146401738,Werblin Back Entrance,Quads,B,03/21/2017,16:48
117050829,Hill Center,Busch Suites,B,03/21/2017,14:40
175413692,Science Building,Hill Center,B,03/21/2017,14:51
121228514,Library of Science,Werblin Back Entrance,B,03/21/2017,04:13
146087861,Busch Suites,Livingston Plaza,B,03/21/2017,08:16
195800854,Busch Student Center,Livingston Student Center,B,03/21/2017,18:47
182418439,Livingston Plaza,Werblin Back Entrance,B,03/21/2017,17:58
117339078,Livingston Student Center,Livingston Plaza,B,03/21/2017,01:34
126981161,Quads,Livingston Student Center,B,03/21/2017,06:48
101949555,Werblin Back Entrance,Library of Science,B,03/21/2017,02:52
188497065,Hill Center,Busch Student Center,B,03/21/2017,00:50
109170857,Science Building,Science Building,B,03/21/2017,05:29
159239767,Library of Science,Quads,B,03/21/2017,10:12
188975952,Quads,Busch Suites,B,03/21/2017,22:35
166616062,Werblin Back Entrance,Hill Center,B,03/21/2017,11:06
129872280,Hill Center,Werblin Back Entrance,B,03/21/2017,07:52
162852347,Science Building,Livingston Plaza,B,03/21/2017,20:47
163225831,Library of Science,Livingston Student Center,B,03/21/2017,06:20
186261461,Busch Suites,Library of Science,B,03/21/2017,04:22
128799328,Busch Student Center,Busch Student Center,B,03/21/2017,12:47
104177321,Livingston Plaza,Science Building,B,03/21/2017,04:55
133272237,Livingston Student Center,Quads,B,03/21/2017,20:05
127850532,Quads,Busch Suites,B,03/21/2017,08:31
130014963,Werblin Back Entrance,Hill Center,B,03/21/2017,11:27
120390491,Hill Center,Werblin Back Entrance,B,03/21/2017,12:03
191389849,Science Building,Livingston Plaza,B,03/21/2017,10:47
180549735,Library of Science,Livingston Student Center,B,03/21/2017,13:40
110215839,Busch Suites,Library of Science,B,03/21/2017,04:08
112047218,Busch Student Center,Busch Student Center,B,03/21/2017,17:32
106513562,Livingston Plaza,Science Building,B,03/21/2017,21:50
133600407,Livingston Student Center,Quads,B,03/21/2017,23:28
168995313,Quads,Busch Suites,B,03/21/2017,09:00
180899662,Werblin Back Entrance,Hill Center,B,03/21/2017,06:38
158400088,Hill Center,Werblin Back Entrance,B,03/21/2017,02:11
149805451,Science Building,Livingston Plaza,B,03/21/2017,02:56
189412784,Library of Science,Livingston Student Center,B,03/21/2017,01:37
162532219,Quads,Library of Science,B,03/21/2017,04:32
137002689,Werblin Back Entrance,Busch Student Center,B,03/21/2017,00:20
107382540,Hill Center,Science Building,B,03/21/2017,05:36
158444295,Science Building,Quads,B,03/21/2017,14:05
199866682,Library of Science,Busch Suites,B,03/21/2017,00:34
130604673,Busch Suites,Hill Center,B,03/21/2017,20:22
165173691,Busch Student Center,Werblin Back Entrance,B,03/21/2017,18:11
133465814,Livingston Plaza,Livingston Plaza,B,03/21/2017,02:49
138473906,Livingston Student Center,Livingston Student Center,B,03/21/2017,00:14
129251310,Quads,Werblin Back Entrance,B,03/21/2017,08:27
109675171,Werblin Back Entrance,Livingston Plaza,B,03/21/2017,16:26
103227684,Hill Center,Livingston Student Center,B,03/21/2017,12:16
141284400,Science Building,Library of Science,B,03/21/2017,04:54
129594182,Library of Science,Busch Student Center,B,03/21/2017,21:44
194589091,Busch Suites,Science Building,B,03/21/2017,13:37
146647561,Busch Student Center,Quads,B,03/21/2017,09:48
148376310,Livingston Plaza,Busch Suites,B,03/21/2017,21:11
164495007,Livingston Student Center,Hill Center,B,03/21/2017,23:35
171208358,Quads,Werblin Back Entrance,B,03/21/2017,08:26
149963594,Werblin Back Entrance,Livingston Plaza,B,03/21/2017,17:24
174143827,Hill Center,Livingston Student Center,B,03/21/2017,07:33
168101484,Science Building,Library of Science,B,03/21/2017,20:20
156748561,Library of Science,Busch Student Center,B,03/21/2017,06:08
196339495,Quads,Science Building,B,03/21/2017,02:27
129920853,Werblin Back Entrance,Quads,B,03/21/2017,08:12
184442240,Hill Center,Busch Suites,B,03/21/2017,00:28
157814324,Science Building,Hill Center,B,03/21/2017,17:25
162324942,Library of Science,Werblin Back Entrance,B,03/21/2017,05:56
121928746,Busch Suites,Livingston Plaza,B,03/21/2017,21:33
122152297,Busch Student Center,Livingston Student Center,B,03/21/2017,19:18
174828550,Livingston Plaza,Library of Science,B,03/21/2017,14:01
192196399,Livingston Student Center,Busch Student Center,B,03/21/2017,22:22
114233314,Quads,Science Building,B,03/21/2017,12:53
194795427,Werblin Back Entrance,Quads,B,03/21/2017,12:40
116951127,Hill Center,Busch Suites,B,03/21/2017,17:33
134821467,Science Building,Hill Center,B,03/21/2017,04:54
198112004,Library of Science,Werblin Back Entrance,B,03/21/2017,18:13
190783616,Busch Suites,Livingston Plaza,B,03/21/2017,19:30
158048302,Busch Student Center,Livingston Student Center,B,03/21/2017,06:14
185826906,Livingston Plaza,Library of Science,B,03/21/2017,23:38
157609400,Livingston Student Center,Busch Student Center,B,03/21/2017,18:00
132449074,Quads,Science Building,B,03/21/2017,22:31
108661453,Werblin Back Entrance,Quads,B,03/21/2017,13:27
159478878,Hill Center,Busch Suites,B,03/21/2017,08:02
